"","IP","Hostname","NetBIOS","OS","IP.Status","QID","Title","Vulnerability Type","Severity","Port","Protocol","FQDN","SSL","CVE.ID","Vendor.Reference","Bugtraq.ID","CVSS.Base","CVSS.Temporal","CVSS3.Base","CVSS3.Temporal","Threat","Impact","Solution","Exploitability","Associated.Malware","Results","PCI.Vuln","Instance","OS.CPE","Category","Severidad"
"1","172.19.244.1-172.19.244.3,  172.19.244.11,  172.19.244.23,  172.19.244.47,  172.19.244.65,  172.19.244.70","","","","hosts not scanned, host not alive, 8 hosts",NA,"","",NA,NA,"",NA,"","","","","","","","","","","","","","","",NA,NA,"",""
"2","172.19.244.73","bmesrvc808.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,8443,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
"3","172.19.244.73","bmesrvc808.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,7979,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
"4","172.19.244.72","bmesrvc807.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,8443,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
"5","172.19.244.71","bmesrvd779.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",82054,"TCP Sequence Number Approximation Based Denial of Service","Confirmed",1,NA,"",NA,"","CVE-2004-0230","","10183","5 (AV:N/AC:L/Au:N/C:N/I:N/A:P)","4.3 (E:F/RL:TF/RC:C)","","","TCP provides stateful communications between hosts on a network. TCP sessions are established by a three-way handshake and use random 32-bit sequence and acknowledgement numbers to ensure the validity of traffic. A vulnerability was reported that may permit TCP sequence numbers to be more easily approximated by remote attackers. This issue affects products released by multiple vendors.  
 
The cause of the vulnerability is that affected implementations will accept TCP sequence numbers within a certain range, known as the acknowledgement range, of the expected sequence number for a packet in the session. This is determined by the TCP window size, which is negotiated during the three-way handshake for the session. Larger TCP window sizes may be set to allow for more throughput, but the larger the TCP window size, the more probable it is to guess a TCP sequence number that falls within an acceptable range. It was initially thought that guessing an acceptable sequence number was relatively difficult for most implementations given random distribution, making this type of attack impractical. However, some implementations may make it easier to successfully approximate an acceptable TCP sequence number, making these attacks possible with a number of protocols and implementations.
 
This is further compounded by the fact that some implementations may support the use of the TCP Window Scale Option, as described in RFC 1323, to extend the TCP window size to a maximum value of 1 billion.
 
This vulnerability will permit a remote attacker to inject a SYN or RST packet into the session, causing it to be reset and effectively allowing for denial of service attacks. An attacker would exploit this issue by sending a packet to a receiving implementation with an approximated sequence number and a forged source IP address and TCP port.
 
There are a few factors that may present viable target implementations, such as those which depend on long-lived TCP connections, those that have known or easily guessed IP address endpoints and those implementations with easily guessed TCP source ports. It has been noted that Border Gateway Protocol (BGP) is reported to be particularly vulnerable to this type of attack, due to the use of long-lived TCP sessions and the possibility that some implementations may use the TCP Window Scale Option. As a result, this issue is likely to affect a number of routing platforms.
 
Another factor to consider is the relative difficulty of injecting packets into TCP sessions, as a number of receiving implementations will reassemble packets in order, dropping any duplicates. This may make some implementations more resistant to attacks than others.
 
It should be noted that while a number of vendors have confirmed this issue in various products, investigations are ongoing and it is likely that many other vendors and products will turn out to be vulnerable as the issue is investigated further.","Successful exploitation of this issue could lead to denial of service attacks on the TCP based services of target hosts.","Please first check the results section below for the port number on which this vulnerability was detected. If that port number is known to be used for port-forwarding, then it is the backend host that is really vulnerable.
 
Various implementations and products including Check Point, Cisco, Cray Inc, Hitachi, Internet Initiative Japan, Inc (IIJ), Juniper Networks, NEC, Polycom, and Yamaha are currently undergoing review. Contact the vendors to obtain more information about affected products and fixes. NISCC Advisory 236929 - Vulnerability Issues in TCP (http://packetstormsecurity.org/0404-advisories/246929.html) details the vendor patch status as of the time of the advisory, and identifies resolutions and workarounds.
 
Refer to US-CERT Vulnerability Note VU415294 (http://www.kb.cert.org/vuls/id/415294) and OSVDB Article 4030 (http://osvdb.org/4030) to obtain a list of vendors affected by this issue and a note on resolutions (if any) provided by the vendor.
 
For Microsoft: Refer to MS05-019 (https://docs.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-019) and MS06-064 (https://docs.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-064) for further details.
 
For SGI IRIX: Refer to SGI Security Advisory 20040905-01-P (ftp://patches.sgi.com/support/free/security/advisories/20040905-01-P.asc)
 
For SCO UnixWare 7.1.3 and 7.1.1: Refer to SCO Security Advisory SCOSA-2005.14 (ftp://ftp.sco.com/pub/updates/UnixWare/SCOSA-2005.14/SCOSA-2005.14.txt)
 
For Solaris (Sun Microsystems): The vendor has acknowledged the vulnerability; however a patch is not available. Refer to Sun Microsystems, Inc. Information for VU415294 (http://www.kb.cert.org/vuls/id/JARL-5YGQAJ) to obtain additional details. Also, refer to TA04-111A (http://www.us-cert.gov/cas/techalerts/TA04-111A.html) for detailed mitigating strategies against these attacks.
 
For NetBSD: Refer to NetBSD-SA2004-006 (ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2004-006.txt.asc)
 
For Cisco: Refer to cisco-sa-20040420-tcp-ios.shtml (http://www.cisco.com/warp/public/707/cisco-sa-20040420-tcp-ios.shtml).
 
For Red Hat Linux: There is no fix available.
 






Workaround: The following BGP-specific workaround information has been provided.
 
For BGP implementations that support it, the TCP MD5 Signature Option should be enabled. Passwords that the MD5 checksum is applied to should be set to strong values and changed on a regular basis.
 
Secure BGP configuration instructions have been provided for Cisco and Juniper at these locations:
 
Secure Cisco IOS BGP Template (http://www.cymru.com/Documents/secure-bgp-template.html)
 
JUNOS Secure BGP Template (http://www.cymru.com/gillsr/documents/junos-bgp-template.pdf)","Source: The Exploit-DB
Reference:CVE-2004-0230
Description:Microsoft Windows - Malformed IP Options Denial of Service (MS05-019) - The Exploit-DB Ref : 942
Link:http://www.exploit-db.com/exploits/942
Reference:CVE-2004-0230
Description:Microsoft Windows XP/2000 - TCP Connection Reset - The Exploit-DB Ref : 276
Link:http://www.exploit-db.com/exploits/276
Reference:CVE-2004-0230
Description:TCP Connection Reset - Remote Denial of Service - The Exploit-DB Ref : 291
Link:http://www.exploit-db.com/exploits/291
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (1) - The Exploit-DB Ref : 24030
Link:http://www.exploit-db.com/exploits/24030
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (2) - The Exploit-DB Ref : 24031
Link:http://www.exploit-db.com/exploits/24031
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (3) - The Exploit-DB Ref : 24032
Link:http://www.exploit-db.com/exploits/24032
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (4) - The Exploit-DB Ref : 24033
Link:http://www.exploit-db.com/exploits/24033","","Tested on port 80 with an injected SYN/RST offset by 16 bytes.","no",NA,NA,"TCP/IP","Baja"
"6","172.19.244.69","bmesrvc769.domibco.com.pe","BMESRVC769","Windows 2016","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,3389,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
"7","172.19.244.67","bmesrvext.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,636,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
"8","172.19.244.67","bmesrvext.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,8443,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
"9","172.19.244.64","bmesrvc96.domibco.com.pe","","Linux 2.4-2.6 / Embedded Device / F5 Networks Big-IP / Linux 2.6","host scanned, found vuln",82054,"TCP Sequence Number Approximation Based Denial of Service","Confirmed",1,NA,"",NA,"","CVE-2004-0230","","10183","5 (AV:N/AC:L/Au:N/C:N/I:N/A:P)","4.3 (E:F/RL:TF/RC:C)","","","TCP provides stateful communications between hosts on a network. TCP sessions are established by a three-way handshake and use random 32-bit sequence and acknowledgement numbers to ensure the validity of traffic. A vulnerability was reported that may permit TCP sequence numbers to be more easily approximated by remote attackers. This issue affects products released by multiple vendors.  
 
The cause of the vulnerability is that affected implementations will accept TCP sequence numbers within a certain range, known as the acknowledgement range, of the expected sequence number for a packet in the session. This is determined by the TCP window size, which is negotiated during the three-way handshake for the session. Larger TCP window sizes may be set to allow for more throughput, but the larger the TCP window size, the more probable it is to guess a TCP sequence number that falls within an acceptable range. It was initially thought that guessing an acceptable sequence number was relatively difficult for most implementations given random distribution, making this type of attack impractical. However, some implementations may make it easier to successfully approximate an acceptable TCP sequence number, making these attacks possible with a number of protocols and implementations.
 
This is further compounded by the fact that some implementations may support the use of the TCP Window Scale Option, as described in RFC 1323, to extend the TCP window size to a maximum value of 1 billion.
 
This vulnerability will permit a remote attacker to inject a SYN or RST packet into the session, causing it to be reset and effectively allowing for denial of service attacks. An attacker would exploit this issue by sending a packet to a receiving implementation with an approximated sequence number and a forged source IP address and TCP port.
 
There are a few factors that may present viable target implementations, such as those which depend on long-lived TCP connections, those that have known or easily guessed IP address endpoints and those implementations with easily guessed TCP source ports. It has been noted that Border Gateway Protocol (BGP) is reported to be particularly vulnerable to this type of attack, due to the use of long-lived TCP sessions and the possibility that some implementations may use the TCP Window Scale Option. As a result, this issue is likely to affect a number of routing platforms.
 
Another factor to consider is the relative difficulty of injecting packets into TCP sessions, as a number of receiving implementations will reassemble packets in order, dropping any duplicates. This may make some implementations more resistant to attacks than others.
 
It should be noted that while a number of vendors have confirmed this issue in various products, investigations are ongoing and it is likely that many other vendors and products will turn out to be vulnerable as the issue is investigated further.","Successful exploitation of this issue could lead to denial of service attacks on the TCP based services of target hosts.","Please first check the results section below for the port number on which this vulnerability was detected. If that port number is known to be used for port-forwarding, then it is the backend host that is really vulnerable.
 
Various implementations and products including Check Point, Cisco, Cray Inc, Hitachi, Internet Initiative Japan, Inc (IIJ), Juniper Networks, NEC, Polycom, and Yamaha are currently undergoing review. Contact the vendors to obtain more information about affected products and fixes. NISCC Advisory 236929 - Vulnerability Issues in TCP (http://packetstormsecurity.org/0404-advisories/246929.html) details the vendor patch status as of the time of the advisory, and identifies resolutions and workarounds.
 
Refer to US-CERT Vulnerability Note VU415294 (http://www.kb.cert.org/vuls/id/415294) and OSVDB Article 4030 (http://osvdb.org/4030) to obtain a list of vendors affected by this issue and a note on resolutions (if any) provided by the vendor.
 
For Microsoft: Refer to MS05-019 (https://docs.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-019) and MS06-064 (https://docs.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-064) for further details.
 
For SGI IRIX: Refer to SGI Security Advisory 20040905-01-P (ftp://patches.sgi.com/support/free/security/advisories/20040905-01-P.asc)
 
For SCO UnixWare 7.1.3 and 7.1.1: Refer to SCO Security Advisory SCOSA-2005.14 (ftp://ftp.sco.com/pub/updates/UnixWare/SCOSA-2005.14/SCOSA-2005.14.txt)
 
For Solaris (Sun Microsystems): The vendor has acknowledged the vulnerability; however a patch is not available. Refer to Sun Microsystems, Inc. Information for VU415294 (http://www.kb.cert.org/vuls/id/JARL-5YGQAJ) to obtain additional details. Also, refer to TA04-111A (http://www.us-cert.gov/cas/techalerts/TA04-111A.html) for detailed mitigating strategies against these attacks.
 
For NetBSD: Refer to NetBSD-SA2004-006 (ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2004-006.txt.asc)
 
For Cisco: Refer to cisco-sa-20040420-tcp-ios.shtml (http://www.cisco.com/warp/public/707/cisco-sa-20040420-tcp-ios.shtml).
 
For Red Hat Linux: There is no fix available.
 






Workaround: The following BGP-specific workaround information has been provided.
 
For BGP implementations that support it, the TCP MD5 Signature Option should be enabled. Passwords that the MD5 checksum is applied to should be set to strong values and changed on a regular basis.
 
Secure BGP configuration instructions have been provided for Cisco and Juniper at these locations:
 
Secure Cisco IOS BGP Template (http://www.cymru.com/Documents/secure-bgp-template.html)
 
JUNOS Secure BGP Template (http://www.cymru.com/gillsr/documents/junos-bgp-template.pdf)","Source: The Exploit-DB
Reference:CVE-2004-0230
Description:Microsoft Windows - Malformed IP Options Denial of Service (MS05-019) - The Exploit-DB Ref : 942
Link:http://www.exploit-db.com/exploits/942
Reference:CVE-2004-0230
Description:Microsoft Windows XP/2000 - TCP Connection Reset - The Exploit-DB Ref : 276
Link:http://www.exploit-db.com/exploits/276
Reference:CVE-2004-0230
Description:TCP Connection Reset - Remote Denial of Service - The Exploit-DB Ref : 291
Link:http://www.exploit-db.com/exploits/291
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (1) - The Exploit-DB Ref : 24030
Link:http://www.exploit-db.com/exploits/24030
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (2) - The Exploit-DB Ref : 24031
Link:http://www.exploit-db.com/exploits/24031
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (3) - The Exploit-DB Ref : 24032
Link:http://www.exploit-db.com/exploits/24032
Reference:CVE-2004-0230
Description:Multiple Vendor - TCP Sequence Number Approximation (4) - The Exploit-DB Ref : 24033
Link:http://www.exploit-db.com/exploits/24033","","Tested on port 111 with an injected SYN/RST offset by 16 bytes.","no",NA,NA,"TCP/IP","Baja"
"10","172.19.244.63","bmesrvc533.domibco.com.pe","BMESRVC533","Windows 2012 R2 Standard","host scanned, found vuln",38794,"SSL/TLS Server supports TLSv1.1","Confirmed",1,49376,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.2 (E:U/RL:U/RC:C)","3.7 (AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N)","3.4 (E:U/RL:U/RC:C)","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake.","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no",NA,NA,"General remote services","Baja"
